date,region,product,sales,profit
2025-04-13,대구,A,891,127
2025-12-15,대구,A,412,62
2025-09-28,서울,A,711,48
2025-04-17,부산,A,937,74
2025-03-13,부산,D,908,154
2025-07-08,인천,A,281,167
2025-01-21,부산,C,785,190
2025-04-13,광주,D,927,22
2025-05-02,부산,B,463,30
2025-08-03,인천,B,287,156
2025-11-27,부산,C,668,62
2025-03-29,광주,C,642,28
2025-04-10,서울,D,695,66
2025-12-26,인천,B,763,34
2025-06-01,서울,B,647,40
2025-05-11,서울,B,824,90
2025-05-30,서울,B,507,192
2025-11-05,대구,B,975,32
2025-09-15,대구,A,717,41
2025-12-10,서울,C,513,199
2025-10-21,인천,A,441,83
2025-07-11,광주,B,319,19
2025-10-04,광주,D,262,63
2025-06-10,부산,D,319,61
2025-11-10,인천,B,369,157
2025-01-22,대구,B,731,169
2025-09-10,서울,D,947,123
2025-08-24,부산,A,499,23
2025-12-11,광주,A,281,187
2025-02-18,대구,B,717,165
2025-02-28,대구,A,828,119
2025-06-19,서울,D,304,62
2025-07-07,광주,A,681,161
2025-09-28,인천,B,655,88
2025-07-09,대구,D,940,31
2025-06-24,서울,A,912,39
2025-02-20,인천,C,327,13
2025-12-30,광주,D,795,68
2025-02-24,대구,D,718,17
2025-09-01,인천,C,695,21
2025-11-16,인천,C,949,128
2025-05-11,인천,D,349,168
2025-11-03,대구,C,974,43
2025-05-15,대구,B,540,91
2025-01-21,부산,B,632,107
2025-11-25,광주,B,295,136
2025-06-16,서울,D,789,84
2025-10-01,인천,C,618,114
2025-03-30,부산,C,169,58
2025-11-12,서울,A,738,88
2025-01-14,부산,A,498,194
2025-08-30,대구,C,771,102
2025-09-22,인천,C,859,163
2025-12-12,서울,C,302,27
2025-02-22,서울,D,247,105
2025-12-06,서울,C,571,47
2025-04-02,서울,A,754,96
2025-09-21,서울,D,298,97
2025-02-04,부산,C,525,59
2025-07-25,인천,A,765,17
2025-03-22,대구,D,591,178
2025-02-19,대구,C,987,143
2025-12-26,대구,C,995,78
2025-01-02,대구,C,241,181
2025-02-23,부산,D,412,130
2025-04-16,광주,A,264,73
2025-09-17,인천,A,413,166
2025-11-06,서울,B,120,165
2025-07-10,광주,C,181,148
2025-08-06,대구,B,680,130
2025-02-13,광주,B,230,74
2025-06-11,인천,A,698,116
2025-07-21,서울,D,829,156
2025-09-27,서울,D,404,146
2025-12-17,인천,A,470,164
2025-10-31,인천,D,956,171
2025-09-28,대구,B,952,181
2025-08-03,서울,C,483,109
2025-09-09,광주,A,544,91
2025-07-09,부산,C,524,152
2025-10-23,부산,D,260,60
2025-08-01,인천,C,277,150
2025-07-27,대구,D,728,92
2025-08-25,부산,D,807,186
2025-12-04,서울,B,994,121
2025-02-22,인천,D,589,65
2025-10-07,광주,B,426,188
2025-08-05,인천,B,697,174
2025-09-09,광주,B,388,154
2025-07-07,인천,A,692,195
2025-02-10,인천,A,763,166
2025-06-06,인천,D,672,170
2025-01-15,광주,B,672,69
2025-10-28,광주,A,453,129
2025-03-06,인천,B,127,192
2025-12-11,부산,C,142,147
2025-11-23,대구,C,780,184
2025-01-09,대구,C,522,32
2025-12-10,대구,D,697,158
2025-05-09,광주,B,276,22
2025-05-16,광주,C,628,110
2025-03-04,부산,A,709,170
2025-05-19,대구,C,593,33
2025-03-22,대구,C,297,117
2025-06-12,인천,C,709,20
2025-10-16,광주,D,676,26
2025-09-18,대구,A,941,184
2025-08-19,부산,B,952,34
2025-02-10,부산,A,616,103
2025-01-28,대구,B,613,30
2025-05-15,광주,D,121,93
2025-07-20,부산,D,211,149
2025-11-24,인천,D,156,46
2025-09-25,부산,D,165,51
2025-02-02,서울,B,941,154
2025-02-17,서울,C,197,110
2025-03-03,광주,B,243,57
2025-08-04,대구,A,979,112
2025-10-20,광주,D,534,37
2025-04-09,광주,D,736,50
2025-06-21,광주,A,778,108
2025-12-26,광주,B,185,56
2025-08-02,인천,C,687,155
2025-02-04,인천,C,443,114
2025-08-15,부산,A,393,133
2025-04-11,서울,C,670,22
2025-05-11,광주,B,749,150
2025-09-14,부산,B,710,109
2025-01-05,서울,A,803,40
2025-08-06,대구,B,342,139
2025-09-12,인천,D,930,25
2025-12-25,서울,A,660,146
2025-10-10,대구,B,131,82
2025-07-26,서울,A,490,175
2025-01-15,인천,C,376,63
2025-12-12,인천,B,631,193
2025-02-11,부산,D,253,109
2025-06-28,광주,B,482,118
2025-03-04,서울,A,167,96
2025-12-18,서울,A,977,182
2025-08-19,대구,B,983,171
2025-08-29,인천,D,313,146
2025-02-21,서울,D,754,17
2025-04-06,인천,D,475,16
2025-08-10,서울,A,843,45
2025-08-19,부산,B,312,27
2025-08-25,광주,C,178,12
2025-05-23,서울,A,825,37
2025-06-20,인천,D,727,79
2025-01-29,부산,B,703,181
2025-02-05,서울,D,881,158
2025-01-13,대구,C,480,37
2025-06-09,광주,D,779,63
2025-11-23,서울,D,157,191
2025-07-06,부산,C,895,74
2025-08-31,대구,B,125,109
2025-03-27,부산,A,980,30
2025-10-11,부산,B,546,22
2025-03-07,대구,C,165,66
2025-06-19,부산,D,859,58
2025-02-14,대구,B,353,127
2025-03-03,서울,A,998,63
2025-05-14,대구,C,143,147
2025-10-11,대구,B,196,62
2025-01-28,광주,A,653,53
2025-04-18,대구,C,326,56
2025-02-13,대구,A,873,62
2025-12-06,서울,C,778,83
2025-10-13,광주,D,535,55
2025-11-27,인천,B,890,22
2025-05-08,서울,A,700,174
2025-12-14,서울,C,478,111
2025-08-19,인천,A,277,33
2025-07-09,대구,A,526,11
2025-08-13,부산,B,808,90
2025-10-10,광주,D,406,109
2025-05-01,부산,A,878,151
2025-04-26,인천,C,603,147
2025-08-21,서울,C,367,172
2025-09-16,서울,D,685,162
2025-12-25,광주,C,107,140
2025-07-17,서울,D,607,120
2025-05-17,서울,C,575,111
2025-11-14,광주,B,396,26
2025-06-14,광주,A,263,21
2025-08-13,인천,B,584,191
2025-11-03,서울,A,696,125
2025-08-22,서울,A,171,33
2025-06-21,인천,A,666,38
2025-06-01,대구,B,658,180
2025-11-11,대구,A,337,162
2025-06-09,대구,B,203,131
2025-04-06,인천,D,309,197
2025-08-21,서울,C,653,99
2025-06-29,인천,C,927,74
2025-04-23,인천,A,567,93
2025-11-14,대구,B,553,128
2025-02-21,부산,C,367,165
2025-09-25,서울,B,485,25
2025-10-22,대구,B,874,184
2025-04-23,부산,A,947,113
2025-04-11,부산,C,486,101
2025-04-23,광주,A,976,195
2025-03-22,서울,A,358,36
2025-07-06,부산,C,382,190
2025-04-23,대구,C,725,179
2025-01-02,광주,D,974,196
2025-05-10,서울,D,139,184
2025-08-08,인천,B,585,171
2025-02-23,대구,C,319,174
2025-12-09,부산,D,228,143
2025-08-12,부산,B,619,144
2025-08-13,대구,B,712,162
2025-05-06,부산,B,991,42
2025-05-10,광주,D,787,64
2025-02-22,서울,C,718,195
2025-06-21,광주,A,712,16
2025-08-06,부산,B,359,66
2025-06-09,인천,D,465,135
2025-07-17,서울,D,857,21
2025-09-04,서울,A,886,25
2025-11-20,대구,A,643,52
2025-07-22,대구,D,748,126
2025-07-03,인천,C,623,144
2025-05-03,서울,A,913,120
2025-09-12,인천,D,986,60
